pattern  missing_frac  noise_std stratum              method  n_points          mse       nll    cov90    cov95     mean_std   sigma2_obs  sigma2_hat
 blocks           0.3       0.25    d50p unhippo_native_best      27.0 4.573048e-02  6.043709 1.000000 1.000000 1.682644e+02 1.000000e+05         NaN
 blocks           0.3       0.25    d50p    unhippo_zoh_best      27.0 1.625307e-01 10.881930 1.000000 1.000000 2.132256e+04 1.000000e+11         NaN
 blocks           0.5       0.10     all         legs_linear    1000.0 4.095376e-02       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.5       0.10     all            legs_zoh    1000.0 4.404898e-01       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.5       0.10     all                srif    1000.0 1.345648e-01 -1.280369 0.901700 0.938200 2.578951e-01          NaN    0.010883
 blocks           0.5       0.10     all           srif_flat    1000.0 1.182720e+00 -0.940279 0.858300 0.918200 7.069115e-01          NaN    0.010883
 blocks           0.5       0.10     all    srif_transported    1000.0 1.680840e+05 -0.022412 0.874500 0.912100 8.212332e+02          NaN    0.010883
 blocks           0.5       0.10     all unhippo_linear_best    1000.0 4.164734e-02  8.351815 1.000000 1.000000 1.706872e+03 1.000000e+08         NaN
 blocks           0.5       0.10     all unhippo_native_best    1000.0 4.034812e-02  5.549496 1.000000 1.000000 1.048887e+02 1.000000e+04         NaN
 blocks           0.5       0.10     all    unhippo_zoh_best    1000.0 3.636467e-01 10.049654 1.000000 1.000000 9.469061e+03 1.000000e+10         NaN
 blocks           0.5       0.10  d21_50         legs_linear     108.0 5.804215e-02       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.5       0.10  d21_50            legs_zoh     108.0 1.355487e+00       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.5       0.10  d21_50                srif     108.0 2.007189e-01  0.710961 0.897500 0.900000 4.424937e-01          NaN    0.010883
 blocks           0.5       0.10  d21_50           srif_flat     108.0 1.941516e+00  1.490572 0.658333 0.826389 8.875644e-01          NaN    0.010883
 blocks           0.5       0.10  d21_50    srif_transported     108.0 5.464330e+01  2.688072 0.761667 0.806389 1.017402e+01          NaN    0.010883
 blocks           0.5       0.10  d21_50 unhippo_linear_best     108.0 5.455000e-02  8.312622 1.000000 1.000000 1.627532e+03 1.000000e+08         NaN
 blocks           0.5       0.10  d21_50 unhippo_native_best     108.0 4.789289e-02  5.627204 1.000000 1.000000 1.115360e+02 1.000000e+04         NaN
 blocks           0.5       0.10  d21_50    unhippo_zoh_best     108.0 4.968662e-01 10.871532 1.000000 1.000000 2.124868e+04 1.000000e+11         NaN
 blocks           0.5       0.10    d50p         legs_linear     198.0 1.418967e-01       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.5       0.10    d50p            legs_zoh     198.0 1.068217e+00       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.5       0.10    d50p                srif     198.0 5.147125e-01  1.187726 0.942759 0.956081 9.004400e-01          NaN    0.010883
 blocks           0.5       0.10    d50p           srif_flat     198.0 5.596560e+00  2.237002 0.839998 0.894144 2.561191e+00          NaN    0.010883
 blocks           0.5       0.10    d50p    srif_transported     198.0 4.554192e+05  4.891566 0.845245 0.846597 2.231589e+03          NaN    0.010883
 blocks           0.5       0.10    d50p unhippo_linear_best     198.0 1.343626e-01  9.127965 1.000000 1.000000 3.692503e+03 1.000000e+09         NaN
 blocks           0.5       0.10    d50p unhippo_native_best     198.0 1.398337e-01  5.554581 1.000000 1.000000 1.035222e+02 1.000000e+04         NaN
 blocks           0.5       0.10    d50p    unhippo_zoh_best     198.0 5.493903e-01 11.751003 1.000000 1.000000 5.091173e+04 1.000000e+12         NaN
 blocks           0.5       0.25     all         legs_linear    1000.0 6.965201e-02       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.5       0.25     all            legs_zoh    1000.0 5.514648e-01       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.5       0.25     all                srif    1000.0 1.559856e-01 -0.690794 0.908400 0.947900 3.195163e-01          NaN    0.068237
 blocks           0.5       0.25     all           srif_flat    1000.0 1.320852e+00 -0.257117 0.903600 0.939900 8.966186e-01          NaN    0.068237
 blocks           0.5       0.25     all    srif_transported    1000.0 8.818866e+05  0.891091 0.874700 0.912100 2.065510e+03          NaN    0.068237
 blocks           0.5       0.25     all unhippo_linear_best    1000.0 6.622510e-02  9.192816 1.000000 1.000000 3.999603e+03 1.000000e+09         NaN
 blocks           0.5       0.25     all unhippo_native_best    1000.0 5.028679e-02  6.658591 1.000000 1.000000 3.219602e+02 1.000000e+06         NaN
 blocks           0.5       0.25     all    unhippo_zoh_best    1000.0 4.572765e-01 10.049654 1.000000 1.000000 9.469061e+03 1.000000e+10         NaN
 blocks           0.5       0.25  d21_50         legs_linear     108.0 1.683015e-01       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.5       0.25  d21_50            legs_zoh     108.0 1.703071e+00       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.5       0.25  d21_50                srif     108.0 2.694415e-01  0.874584 0.886667 0.906389 6.155980e-01          NaN    0.068237
 blocks           0.5       0.25  d21_50           srif_flat     108.0 2.541404e+00  1.914992 0.883333 0.902222 1.463822e+00          NaN    0.068237
 blocks           0.5       0.25  d21_50    srif_transported     108.0 3.261465e+02  3.598304 0.762222 0.805833 2.548624e+01          NaN    0.068237
 blocks           0.5       0.25  d21_50 unhippo_linear_best     108.0 1.227991e-01  9.148787 1.000000 1.000000 3.777312e+03 1.000000e+09         NaN
 blocks           0.5       0.25  d21_50 unhippo_native_best     108.0 6.778763e-02  6.166540 1.000000 1.000000 1.911682e+02 1.000000e+05         NaN
 blocks           0.5       0.25  d21_50    unhippo_zoh_best     108.0 6.336831e-01 10.871532 1.000000 1.000000 2.124868e+04 1.000000e+11         NaN
 blocks           0.5       0.25    d50p         legs_linear     198.0 2.069207e-01       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.5       0.25    d50p            legs_zoh     198.0 1.402453e+00       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.5       0.25    d50p                srif     198.0 5.334954e-01  1.233662 0.953448 0.966892 1.005873e+00          NaN    0.068237
 blocks           0.5       0.25    d50p           srif_flat     198.0 5.776593e+00  2.406987 0.962838 0.969595 3.197389e+00          NaN    0.068237
 blocks           0.5       0.25    d50p    srif_transported     198.0 2.392539e+06  5.803067 0.844570 0.846597 5.611754e+03          NaN    0.068237
 blocks           0.5       0.25    d50p unhippo_linear_best     198.0 1.931366e-01  9.972911 1.000000 1.000000 8.628782e+03 1.000000e+10         NaN
 blocks           0.5       0.25    d50p unhippo_native_best     198.0 1.557290e-01  5.554582 1.000000 1.000000 1.035222e+02 1.000000e+04         NaN
 blocks           0.5       0.25    d50p    unhippo_zoh_best     198.0 6.485306e-01 12.684213 1.000000 1.000000 1.293015e+05 1.000000e+13         NaN
 blocks           0.7       0.10     all         legs_linear    1000.0 7.484146e-02       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.7       0.10     all            legs_zoh    1000.0 6.301696e-01       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.7       0.10     all                srif    1000.0 1.093526e-01 -1.013061 0.949200 0.970100 3.729970e-01          NaN    0.010729
 blocks           0.7       0.10     all           srif_flat    1000.0 7.495752e-01 -0.572893 0.952500 0.974200 1.148526e+00          NaN    0.010729
 blocks           0.7       0.10     all    srif_transported    1000.0 1.502668e+08  1.127181 0.955200 0.976200 3.255446e+03          NaN    0.010729
 blocks           0.7       0.10     all unhippo_linear_best    1000.0 7.543904e-02  8.351815 1.000000 1.000000 1.706872e+03 1.000000e+08         NaN
 blocks           0.7       0.10     all unhippo_native_best    1000.0 7.773962e-02  5.513858 1.000000 1.000000 1.011761e+02 1.000000e+04         NaN
 blocks           0.7       0.10     all    unhippo_zoh_best    1000.0 5.323858e-01 10.049654 1.000000 1.000000 9.469061e+03 1.000000e+10         NaN
 blocks           0.7       0.10  d21_50         legs_linear     108.0 7.614517e-02       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.7       0.10  d21_50            legs_zoh     108.0 1.642478e+00       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.7       0.10  d21_50                srif     108.0 6.918066e-02  0.262245 0.985000 0.996667 4.787222e-01          NaN    0.010729
 blocks           0.7       0.10  d21_50           srif_flat     108.0 5.873786e-01  1.020582 1.000000 1.000000 1.129129e+00          NaN    0.010729
 blocks           0.7       0.10  d21_50    srif_transported     108.0 1.183878e+03  3.105450 1.000000 1.000000 2.505961e+01          NaN    0.010729
 blocks           0.7       0.10  d21_50 unhippo_linear_best     108.0 7.378402e-02  5.646125 1.000000 1.000000 1.134277e+02 1.000000e+04         NaN
 blocks           0.7       0.10  d21_50 unhippo_native_best     108.0 7.398355e-02  5.595025 1.000000 1.000000 1.081219e+02 1.000000e+04         NaN
 blocks           0.7       0.10  d21_50    unhippo_zoh_best     108.0 7.054347e-01 10.876969 1.000000 1.000000 2.133757e+04 1.000000e+11         NaN
 blocks           0.7       0.10    d50p         legs_linear     297.2 2.126986e-01       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.7       0.10    d50p            legs_zoh     297.2 1.242768e+00       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.7       0.10    d50p                srif     297.2 3.136348e-01  1.062883 1.000000 1.000000 9.971553e-01          NaN    0.010729
